ID fysisk,ID digital,benämning på data.kb.se,benämning (2) på data.kb.se,weburn pdf,tif master,tif master (2),reginaid
16169272,18036660,"18036660,1.tif","18036660,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036660,"https://data.kb.se/datasets/2014/10/suecia/18036660,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036660,2.tif",004096283
16169401,18036661,"18036661,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036661,"https://data.kb.se/datasets/2014/10/suecia/18036661,1.tif",,004096284
16169445,18036662,"18036662,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036662,"https://data.kb.se/datasets/2014/10/suecia/18036662,1.tif",,004096285
16192286,18036663,"18036663,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036663,"https://data.kb.se/datasets/2014/10/suecia/18036663,1.tif",,004096286
16192321,18036664,"18036664,1.tif","18036664,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036664,"https://data.kb.se/datasets/2014/10/suecia/18036664,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036664,2.tif",004096287
16192502,18036665,"18036665,1.tif","18036665,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036665,"https://data.kb.se/datasets/2014/10/suecia/18036665,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036665,2.tif",004096288
16192531,18036666,"18036666,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036666,"https://data.kb.se/datasets/2014/10/suecia/18036666,1.tif",,004096289
16233585,18036667,"18036667,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036667,"https://data.kb.se/datasets/2014/10/suecia/18036667,1.tif",,004096290
16233717,18036668,"18036668,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036668,"https://data.kb.se/datasets/2014/10/suecia/18036668,1.tif",,004096291
16233925,18036670,"18036670,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036670,"https://data.kb.se/datasets/2014/10/suecia/18036670,1.tif",,004096292
16233947,18036672,"18036672,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036672,"https://data.kb.se/datasets/2014/10/suecia/18036672,1.tif",,004096293
16234024,18036673,"18036673,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036673,"https://data.kb.se/datasets/2014/10/suecia/18036673,1.tif",,004096294
16251146,18036674,"18036674,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036674,"https://data.kb.se/datasets/2014/10/suecia/18036674,1.tif",,004096295
16251164,18036675,"18036675,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036675,"https://data.kb.se/datasets/2014/10/suecia/18036675,1.tif",,004096296
16251288,18036676,"18036676,1.tif","18036676,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036676,"https://data.kb.se/datasets/2014/10/suecia/18036676,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036676,2.tif",004096297
16251334,18036677,"18036677,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036677,"https://data.kb.se/datasets/2014/10/suecia/18036677,1.tif",,004096298
16251536,18036678,"18036678,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036678,"https://data.kb.se/datasets/2014/10/suecia/18036678,1.tif",,004096299
16251569,18036679,"18036679,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036679,"https://data.kb.se/datasets/2014/10/suecia/18036679,1.tif",,004096300
16254406,18036680,"18036680,1.tif","18036680,2.tif",http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036680,"https://data.kb.se/datasets/2014/10/suecia/18036680,1.tif","https://data.kb.se/datasets/2014/10/suecia/18036680,2.tif",004096301
16254557,18036681,"18036681,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036681,"https://data.kb.se/datasets/2014/10/suecia/18036681,1.tif",,004096302
16263104,18036682,"18036682,1.tif",,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-18036682,"https://data.kb.se/datasets/2014/10/suecia/18036682,1.tif",,004096303
