ID fysisk,ID digital,benämning på data.kb.se,weburn pdf,datakbse pdf,reginaid
8463916,saknas,8463916.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463916,https://data.kb.se/datasets/2016/05/suecia/8463916.pdf,001925741
8463855,saknas,8463855.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463855,https://data.kb.se/datasets/2016/05/suecia/8463855.pdf,001925752
8463840,saknas,8463840.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463840,https://data.kb.se/datasets/2016/05/suecia/8463840.pdf,001925758
8463826,saknas,8463826.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463826,https://data.kb.se/datasets/2016/05/suecia/8463826.pdf,001925761
8463815,saknas,8463815.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463815,https://data.kb.se/datasets/2016/05/suecia/8463815.pdf,001925763
8463720,saknas,8463720.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463720,https://data.kb.se/datasets/2016/05/suecia/8463720.pdf,001925801
8463710,saknas,8463710.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8463710,https://data.kb.se/datasets/2016/05/suecia/8463710.pdf,001925804
8464411,saknas,8464411.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464411,https://data.kb.se/datasets/2016/05/suecia/8464411.pdf,001925861
8464388,saknas,8464388.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464388,https://data.kb.se/datasets/2016/05/suecia/8464388.pdf,001925871
8464354,saknas,8464354.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464354,https://data.kb.se/datasets/2016/05/suecia/8464354.pdf,001925873
8464303,saknas,8464303.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464303,https://data.kb.se/datasets/2016/05/suecia/8464303.pdf,001925879
8464284,saknas,8464284.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464284,https://data.kb.se/datasets/2016/05/suecia/8464284.pdf,001925889
8464277,saknas,8464277.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464277,https://data.kb.se/datasets/2016/05/suecia/8464277.pdf,001925890
8464203,saknas,8464203.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464203,https://data.kb.se/datasets/2016/05/suecia/8464203.pdf,001925908
8464140,saknas,8464140.pdf,http://urn.kb.se/resolve?urn=urn:nbn:se:kb:suecia-8464140,https://data.kb.se/datasets/2016/05/suecia/8464140.pdf,001925920
